month,year,period,streaming_pct,broadcast_pct,cable_pct,other_pct,confidence
November,2024,2024-11,40.3,22.7,27.1,9.9,est
December,2024,2024-12,41.1,23.6,26.1,9.2,est
January,2025,2025-01,42.6,23.9,24.3,9.2,est
February,2025,2025-02,43.3,24.2,23.1,9.4,est
March,2025,2025-03,43.8,21.8,24.1,10.3,est
April,2025,2025-04,44.3,21.2,24.1,10.4,est
May,2025,2025-05,43.9,21.9,24.4,9.8,est
June,2025,2025-06,42.2,22.4,24.7,10.7,est
July,2025,2025-07,41.4,22.6,24.2,11.8,est
August,2025,2025-08,42.1,22.2,24.5,11.2,est
September,2025,2025-09,44.4,22.7,22.9,10.0,est
October,2025,2025-10,46.3,23.2,20.7,9.8,est
November,2025,2025-11,44.8,23.4,22.2,9.6,est
December,2025,2025-12,44.5,25.2,21.2,9.1,est
January,2026,2026-01,45.7,24.2,20.5,9.6,est
February,2026,2026-02,48.0,21.7,20.0,10.3,confirmed
